id,value,created_at,updated_at
165,"24,23,17,49191",2018-01-01 04:22:41,2018-01-01 04:22:41
166,"23,24,52,17",2018-01-23 23:30:08,2018-01-23 23:30:08
167,"31,23,24,17,21,22",2018-01-29 14:23:09,2018-01-29 14:23:09
168,"17,23",2018-02-23 13:57:22,2018-02-23 13:57:22
169,17,2018-02-25 08:41:27,2018-02-25 08:41:27
170,"16,23,17,39",2018-02-26 14:23:41,2018-02-26 14:23:41
171,"28,23,17,39",2018-02-26 14:23:41,2018-02-26 14:23:41
172,"24,23,22,52,64,21",2018-02-28 03:05:15,2018-02-28 03:05:15
173,"192,168,5,3",2018-03-01 14:38:25,2018-03-01 14:38:25
174,"23,24,95",2018-03-03 19:34:20,2018-03-03 19:34:20
175,"311,24,23,17,39",2018-03-15 16:32:45,2018-03-15 16:32:45
176,"311,17,23,24,39",2018-03-15 16:32:50,2018-03-15 16:32:50
177,"311,17,23,24",2018-03-15 16:32:55,2018-03-15 16:32:55
178,"17,67,54992,7302",2018-03-17 18:14:32,2018-03-17 18:14:32
179,"17,71,24,39",2018-03-21 06:45:29,2018-03-21 06:45:29
180,"1,3,6,12,15,28,23,42,66",2018-03-23 17:42:20,2018-03-23 17:42:20
181,"59,60,23",2018-03-26 17:55:50,2018-03-26 17:55:50
182,"17,23,24,41040",2018-03-26 23:37:08,2018-03-26 23:37:08
183,"21,22,23,24,56,64,67",2018-04-03 16:39:24,2018-04-03 16:39:24
184,"23,24,56,31,14",2018-04-10 06:11:19,2018-04-10 06:11:19
185,"13,12,23,24,49211,41323",2018-04-15 23:32:02,2018-04-15 23:32:02
186,"32,23,24,31,41,59,60,7,12",2018-04-24 15:08:52,2018-04-24 15:08:52
187,"1,13,12,23,24,39,7",2018-04-24 15:15:31,2018-04-24 15:15:31
188,"82,83",2018-05-12 20:48:39,2018-05-12 20:48:39
189,"13,12,23,24,135,63468,30618,27402,264,18512,13873,17478,14641",2018-05-13 23:28:23,2018-05-13 23:28:23
190,"58949,12556",2018-05-31 22:56:02,2018-05-31 22:56:02
191,"24,24599",2018-06-19 20:34:12,2018-06-19 20:34:12
192,"1,3,8,6,23,24",2018-06-22 14:03:35,2018-06-22 14:03:35
193,"1,6,23,24,8,3",2018-06-22 14:07:17,2018-06-22 14:07:17
194,"24,25,58,24",2018-06-22 14:16:30,2018-06-22 14:16:30
195,"24,22,21,39",2018-06-25 23:14:55,2018-06-25 23:14:55
196,"24,23,17,53309",2018-06-27 03:08:45,2018-06-27 03:08:45
197,"18672,61156",2018-07-17 02:41:53,2018-07-17 02:41:53
198,"38923,23",2018-07-26 03:52:03,2018-07-26 03:52:03
199,"17,23,24,167",2018-08-02 21:45:35,2018-08-02 21:45:35
200,"24,23,39",2018-08-06 16:02:54,2018-08-06 16:02:54
201,"17,21030,61250,32624",2018-08-14 00:24:36,2018-08-14 00:24:36
202,"11819,57222,2927,7710",2018-08-17 00:38:09,2018-08-17 00:38:09
203,"24,23,38966,39",2018-08-18 03:32:20,2018-08-18 03:32:20
204,"17,23,24,3",2018-08-20 13:49:18,2018-08-20 13:49:18
205,"53072,17697,64080,49571",2018-08-21 23:40:07,2018-08-21 23:40:07
206,"17,143,57192,39",2018-08-25 23:13:00,2018-08-25 23:13:00
207,"24,35875",2018-08-27 03:43:48,2018-08-27 03:43:48
208,"23918,55057",2018-09-01 16:34:33,2018-09-01 16:34:33
209,"24,23,17,119",2018-09-05 11:56:37,2018-09-05 11:56:37
210,"23,24,31,17,31,23",2018-09-07 05:18:50,2018-09-07 05:18:50
211,"17,23,24,143",2018-09-07 23:31:31,2018-09-07 23:31:31
212,"24,40981",2018-09-10 12:47:08,2018-09-10 12:47:08
213,"31216,8944",2018-09-12 03:02:00,2018-09-12 03:02:00
214,"24,23,137,63348",2018-09-13 05:58:11,2018-09-13 05:58:11
215,"13,12,23,24,39",2018-09-14 20:05:06,2018-09-14 20:05:06
216,"80,50566",2018-09-15 21:21:23,2018-09-15 21:21:23
217,"52249,23,17,39",2018-09-17 04:10:38,2018-09-17 04:10:38
218,"17,23,24,2215",2018-09-17 09:56:09,2018-09-17 09:56:09
219,"24,23,17,7",2018-09-21 04:40:43,2018-09-21 04:40:43
220,"16423,21030,61378,18471",2018-10-04 11:32:06,2018-10-04 11:32:06
221,"176,1047",2018-10-05 07:51:16,2018-10-05 07:51:16
222,"59409,23",2018-10-05 12:05:08,2018-10-05 12:05:08
223,"24,7387,37231,10023",2018-10-07 00:30:40,2018-10-07 00:30:40
224,"3608,36571",2018-10-16 00:12:36,2018-10-16 00:12:36
225,"21528,23,17,24745",2018-10-17 22:12:21,2018-10-17 22:12:21
226,"24,67",2018-10-19 06:35:09,2018-10-19 06:35:09
227,"17,23,24,18498",2018-10-22 22:09:27,2018-10-22 22:09:27
228,"13,12,23,24",2018-10-26 22:25:21,2018-10-26 22:25:21
229,"13,12,23,24,56",2018-10-26 22:47:13,2018-10-26 22:47:13
230,"6163,32791,9244,20646",2018-11-08 07:07:33,2018-11-08 07:07:33
231,"6144,5888,4352,9984",2018-11-12 14:16:12,2018-11-12 14:16:12
232,"24,0,0,0",2018-11-20 14:38:21,2018-11-20 14:38:21
233,"32463,51448",2018-11-20 20:07:40,2018-11-20 20:07:40
234,"6123,9046",2018-11-22 04:47:48,2018-11-22 04:47:48
235,"24,38964",2018-11-22 16:15:39,2018-11-22 16:15:39
236,"311,24,23,17",2018-11-23 07:05:08,2018-11-23 07:05:08
237,"51894,12712",2018-11-29 06:29:48,2018-11-29 06:29:48
238,"13,12,23,24,247,7",2018-12-03 10:34:46,2018-12-03 10:34:46
239,"184,50603",2018-12-04 15:50:46,2018-12-04 15:50:46
240,"17,23,146,39416",2018-12-05 04:55:18,2018-12-05 04:55:18
241,"13,12,32873,24,39,7",2018-12-17 19:01:34,2018-12-17 19:01:34
242,"13,12,23,24,39,32983",2018-12-17 20:22:21,2018-12-17 20:22:21
243,"20,23",2018-12-23 15:08:24,2018-12-23 15:08:24
244,"24,81",2018-12-25 06:43:13,2018-12-25 06:43:13
245,"52459,65079",2018-12-30 10:48:11,2018-12-30 10:48:11
246,"23,24,17,21,22,31,41,42,56,59",2018-12-31 21:12:28,2018-12-31 21:12:28
247,"25158,61421",2019-01-03 21:41:36,2019-01-03 21:41:36
248,"17,71,52318,49702",2019-01-12 06:40:04,2019-01-12 06:40:04
249,"45644,10906",2019-01-24 01:52:40,2019-01-24 01:52:40
250,"9601,6230",2019-01-30 00:56:04,2019-01-30 00:56:04
251,"42950,13787",2019-01-30 09:07:30,2019-01-30 09:07:30
252,"39333,50478",2019-02-05 03:41:58,2019-02-05 03:41:58
253,"51742,23",2019-02-05 05:27:41,2019-02-05 05:27:41
254,"0,2105,3712,64255",2019-02-05 15:01:01,2019-02-05 15:01:01
255,"23,24,52,59",2019-02-06 16:57:09,2019-02-06 16:57:09
256,"120,36499",2019-02-10 23:25:07,2019-02-10 23:25:07
257,"17,40966,10878,24043",2019-02-12 15:39:50,2019-02-12 15:39:50
258,"21373,42156,37138,49943",2019-02-13 02:39:26,2019-02-13 02:39:26
